Designator,Footprint,Quantity,Value,LCSC Part #
"D1, D2, D3, D4, D5, D6, D7, D8",SK6812MINI-E_fixed,8,SK6812MINI-E,
R1,0603,1,330R,
"SW1, SW2, SW3",SW_Cherry_MX_1.00u_PCB,3,SW_Push,
