Designator,Mid X,Mid Y,Rotation,Layer
D1,42.202842,-95.4,270.0,top
D2,37.152842,-95.4,270.0,top
D3,32.102842,-95.4,270.0,top
D4,42.202842,-86.4,270.0,top
D5,37.152842,-86.4,270.0,top
D6,32.102842,-86.4,270.0,top
D7,27.052842,-86.4,270.0,top
D8,27.052842,-95.4,270.0,top
R1,25.675,-79.5,0.0,top
SW1,34.295,-35.455,0.0,top
SW2,34.295,-50.545,0.0,top
SW3,34.295,-65.635,0.0,top
